NAME,SEN13GEMARKEY,SEN13GGGOMEZ,PRES16GHCLINTON,PRES16GDTRUMP,SEN13PEMARKEY,SEN13PSLYNCH,GOV14PMCOAKLEY,GOV14PSGROSSMAN,GOV14PDBERWICK,GOV14GCBAKER,GOV14GMCOAKLEY,LTGOV14PSKERRIGAN,LTGOV14PLCHEUNG,LTGOV14PMLAKE,AG14PMHEALEY,AG14PWTOLMAN,AG14GMHEALEY,AG14GJMILLER,TRE14PDGOLDBERG,TRE14PBFINEGOLD,TRE14PCONROY,TRE14GDGOLDBERG,TRE14GMHEFFERNAN,PRES16PHCLINTON,PRES16PBSANDERS,GOV18PJGONZALEZ,GOV18PBMASSIE,GOV18GCBAKER,GOV18GJGONZALEZ,LTGOV18PQPALFREY,LTGOV18PJTINGLE,SOC18PWGALVIN,SOC18PJZAKIM,SOC18GWGALVIN,SOC18GAAMORE,PRES20PJBIDEN,PRES20PBSANDERS,PRES20PEWARREN,PRES20PMBLOOMBERG,PRES20GJBIDEN,PRES20GDTRUMP,SEN20PEMARKEY,SEN20PJKENNEDY,SEN20GEMARKEY,SEN20GKOCONNOR,CVAP14,NHCVAP14,AMINCVAP14,ASIANCVAP14,BCVAP14,NHPICVAP14,WCVAP14,AMINWCVAP14,ASIANWCVAP14,BWCVAP14,AMINBCVAP14,2MORECVAP14,HCVAP14,CVAP15,NHCVAP15,AMINCVAP15,ASIANCVAP15,BCVAP15,NHPICVAP15,WCVAP15,AMINWCVAP15,ASIANWCVAP15,BWCVAP15,AMINBCVAP15,2MORECVAP15,HCVAP15,CVAP16,NHCVAP16,AMINCVAP16,ASIANCVAP16,BCVAP16,NHPICVAP16,WCVAP16,AMINWCVAP16,ASIANWCVAP16,BWCVAP16,AMINBCVAP16,2MORECVAP16,HCVAP16,CVAP17,NHCVAP17,AMINCVAP17,ASIANCVAP17,BCVAP17,NHPICVAP17,WCVAP17,AMINWCVAP17,ASIANWCVAP17,BWCVAP17,AMINBCVAP17,2MORECVAP17,HCVAP17,CVAP18,NHCVAP18,AMINCVAP18,ASIANCVAP18,BCVAP18,NHPICVAP18,WCVAP18,AMINWCVAP18,ASIANWCVAP18,BWCVAP18,AMINBCVAP18,2MORECVAP18,HCVAP18,CVAP19,NHCVAP19,AMINCVAP19,ASIANCVAP19,BCVAP19,NHPICVAP19,WCVAP19,AMINWCVAP19,ASIANWCVAP19,BWCVAP19,AMINBCVAP19,2MORECVAP19,HCVAP19
Abington Town Precinct 1,202,323,818,717,60,197,89,76,20,601,379,91,32,37,86,96,568,456,78,68,28,487,479,193,268,105,66,984,311,92,79,169,49,858,381,170,142,92,64,1037,764,255,295,1077,727,2529.110481968023,2528.114893749199,0.0,10.66105954020952,3.602970344989134,0.0,2492.0000052501955,0.0,3.1951219512195124,21.62516382699869,0.0,0.0,0.9955882188235315,2630.4617326917482,2629.687084804424,0.0,97.83101095101892,3.602970344989134,0.0,2502.216834928537,0.0,0.0,25.22935779816513,0.0,0.0,0.7746478873239436,2689.7493794944085,2668.8886596196035,0.0,112.24778683568474,3.5932110736813923,0.0,2540.476608104348,0.0,6.648459864880339,2.8833551769331587,0.0,0.0,15.86071987480438,2659.1334621427795,2628.1866702804946,0.0,134.4914985546978,23.15202227145752,0.0,2446.280839899311,0.0,20.6561637295992,2.8833551769331587,0.0,0.0,30.946791862284808,2590.2107301889705,2564.866442239049,0.0,114.22681697985249,24.768292682926827,0.0,2398.7255869656383,0.0,27.455479651985158,2.8833551769331587,0.0,0.0,25.344287949921757,2600.1720367559856,2540.172036755985,0.0,121.78125432639635,27.65164785985998,0.0,2341.7425303452924,0.0,34.25479557437112,18.020969855832245,0.0,0.0,59.99999999999999
Abington Town Precinct 2,209,312,739,785,69,234,90,77,34,617,402,102,31,33,111,89,570,466,84,42,56,491,501,195,271,129,74,967,330,124,89,200,64,852,395,184,129,94,65,960,838,287,291,980,820,2519.003391545154,2513.546706712541,2.1105527638190957,32.83662646191788,7.718757499123178,0.0,2453.170055372157,1.76056338028169,4.378048780487805,12.776244623705535,0.0,0.0,5.456684832613774,2529.0250162699376,2497.3338176514626,1.5829145728643217,75.30815059536047,9.919461724475289,0.0,2391.6706704497533,4.401408450704225,0.0,14.172050652539088,0.0,0.0,31.69119861847532,2485.114776046022,2456.769709496341,0.0,69.97482204311599,14.320870175179515,0.0,2352.19653903426,1.76056338028169,8.75609756097561,6.573329655680615,0.0,0.0,34.18462166422564,2465.377047097351,2433.0457943905885,0.0,75.64272742846467,46.05127104087943,0.0,2283.776992115548,3.8711161441007857,17.32156442796407,8.774033881032729,0.0,0.0,32.85889089771704,2525.351564534329,2481.5761209690327,0.0,91.43100991016188,32.85872552387496,0.0,2301.8697022142637,12.586435699624884,23.095419237285427,17.254962952702712,0.0,0.0,40.136592676102815,2552.1155694881627,2483.2218709711065,0.0,53.43270462519593,50.09067641040878,0.0,2322.1587598717583,8.712665439875432,28.869274046606783,23.11734827380362,0.0,0.0,68.36606032610015
Abington Town Precinct 3,219,321,773,808,54,221,90,108,40,679,426,111,39,47,124,104,632,491,92,75,57,517,541,246,273,135,78,1047,325,114,100,192,73,902,448,206,163,87,57,954,848,271,302,978,808,2134.886550330586,2111.6126772584203,41.23432791362508,31.153897499701827,7.486795774647888,0.0,2024.0542459693536,1.9964788732394363,0.0,8.726378091489662,0.0,0.0,23.27387307216672,2142.6191858998445,2109.6851395090907,60.10684678202406,45.16082590616835,9.982394366197182,0.0,1979.7837019530148,4.991197183098591,0.0,8.726378091489662,0.0,0.0,32.93404639075415,2082.23409723304,2059.35345281376,0.0,26.484921364212994,14.973591549295776,0.0,1992.1254682365359,1.9964788732394363,0.0,23.27387307216672,0.0,0.0,25.376243010828794,2169.1475441958955,2101.668888407329,0.0,26.162700316603235,17.469190140845072,0.0,2016.748070920368,19.88592610942034,0.0,16.431519392738338,0.0,0.0,71.95101759761083,2409.1435120446044,2337.1924944469947,0.0,66.65455008728274,14.32914945407627,0.0,2191.056151824623,25.89507838488215,23.34488067744419,13.417085427135682,0.0,0.0,71.95101759761083,2417.722035452256,2315.9494414772194,0.0,52.32540063320647,23.69996964078544,0.0,2157.9795479923223,25.376243010828794,23.34488067744419,41.43094224006872,0.0,0.0,97.300232165991
Abington Town Precinct 4,248,360,877,878,71,235,116,94,40,790,457,134,40,38,139,102,686,562,100,73,60,569,629,265,267,107,94,1247,350,87,122,208,63,1070,515,202,155,93,102,1117,904,311,367,1111,898,2692.8820477991435,2567.2687964266597,1.6551193225558123,31.265539830198193,109.88288874430708,0.0,2424.134224665087,0.0,0.0,0.26481909160893,0.0,0.0,125.61325137248362,2801.108848055383,2695.11577646185,3.3102386451116246,32.25861142373168,124.8828887443071,0.0,2529.333013784189,0.0,0.0,0.26481909160893,0.0,0.0,110.9930715935335,2879.716437698185,2759.716437698185,0.0,30.93451596568703,144.8926480156148,0.0,2583.22722598786,0.0,0.0,0.6620477290223249,0.0,0.0,120.0,2514.4003595178315,2478.738311788809,0.0,15.316288040998455,114.90240728692257,0.0,2352.521568315149,0.0,0.0,0.0,0.0,0.0,30.662047729022326,2675.8141315851285,2655.1520838561064,0.0,48.251683017265165,50.66204772902232,0.0,2549.5832337872635,0.0,1.6551193225558123,0.0,0.0,0.0,25.662047729022326,2519.265572887006,2497.9414774289608,0.0,87.50180184647316,55.264819091608935,0.0,2351.798413072865,0.0,1.6551193225558123,1.9861431870669743,0.0,0.0,21.32409545804465
Abington Town Precinct 5,265,365,908,829,80,276,120,110,33,772,441,135,32,46,127,131,657,548,90,78,66,548,603,260,311,143,104,1167,370,133,122,261,61,1045,445,253,157,76,91,1141,882,304,374,1158,865,2519.117528357093,2464.456925853182,0.0,44.08287666797258,35.308587636932714,0.0,2386.641468743207,0.24295774647887325,2.426829268292683,0.6073943661971831,0.0,0.0,54.660602503912365,2526.785217083087,2473.1781815731742,0.0,54.44140112372058,35.61228482003129,0.0,2376.995778884508,0.6073943661971831,0.0,0.6073943661971831,0.0,0.0,53.6070355099131,2548.185309528345,2490.271740372109,0.0,50.35795379129924,36.219679186228475,0.0,2381.9741586369955,0.24295774647887325,19.59544257414405,0.6073943661971831,0.0,0.0,59.57841545014119,2641.9415870461435,2578.360335132778,0.0,57.38678565923586,58.42510925989541,0.0,2440.6725287496233,0.24295774647887325,22.022271842436734,0.9110915492957748,0.0,0.0,63.58125191336497,2474.480061646968,2441.212858488819,0.0,59.435940005437686,16.381784610099622,0.0,2328.7653252082127,1.5184859154929575,24.449101110729426,5.444596443228455,0.0,0.0,31.906054047342266,2520.724785416592,2502.715173366728,0.0,59.958838568728076,19.29288699733686,0.0,2391.320748717761,0.9110915492957748,26.87593037902211,5.444596443228455,0.0,0.0,18.009612049864167
Acton Town Precinct 1,485,216,1459,438,244,29,104,96,60,543,641,82,98,25,183,66,803,381,84,72,61,700,415,431,339,301,115,1074,649,263,140,312,173,1298,358,320,209,289,127,1761,447,692,321,1718,499,2273.6786188579017,2257.755644090305,15.922974767596287,444.8804780876494,41.65338645418327,0.0,1754.3758300132806,0.0,0.0,0.0,0.0,5.922974767596281,15.922974767596287,2513.2934926958833,2513.2934926958833,10.0,499.1500664010624,58.49933598937582,0.0,1934.721115537849,0.0,0.0,0.0,0.0,5.922974767596281,0.0,2711.9853917662685,2641.985391766269,0.0,555.6108897742364,63.49933598937582,0.0,1987.875166002656,0.0,25.0,0.0,0.0,20.0,64.99999999999999,2863.4462151394428,2773.4462151394423,0.0,662.6494023904386,107.92164674634796,0.0,1962.875166002657,0.0,30.0,0.0,0.0,14.999999999999998,85.00000000000003,2900.332005312085,2794.4090305444875,0.0,624.3027888446218,72.38379814077024,0.0,1967.722443559097,14.999999999999998,45.00000000000001,45.00000000000001,0.0,20.0,113.8844621513944,2772.1779548472773,2623.2934926958833,0.0,676.8791500664012,69.42231075697211,0.0,1748.1075697211154,14.999999999999998,55.92297476759625,49.99999999999999,0.0,10.0,143.88446215139442
Acton Town Precinct 2,472,317,1550,480,228,53,109,95,90,701,655,89,99,34,174,107,851,514,87,77,81,718,572,451,369,384,152,1230,666,344,168,393,223,1433,383,431,205,277,166,1912,441,801,368,1809,558,2315.661267768515,2305.319248745061,4.0,406.6715407822091,0.2437137330754352,0.0,1888.3430657965064,0.0,0.0,0.0,0.0,0.0,20.10803743814545,2490.364793833957,2475.022774810502,0.0,471.2974282664123,30.24371373307544,0.0,1966.1263584264761,0.0,2.572614107883817,0.0,0.0,0.0,20.10803743814545,2546.6410465077824,2521.7088846552483,0.0,502.2069864504737,35.3278857367351,0.0,1952.3168545387045,0.0,23.166708553667497,10.000000000000002,0.0,0.0,30.108037438145463,2468.7141872870543,2418.985539876913,0.0,483.7172508718129,30.08417200365966,0.0,1866.6169695662963,3.861557478368357,28.41451541992621,10.000000000000002,0.0,0.0,49.972361143215466,2469.458686591864,2423.9740757067257,0.0,382.99815350979776,30.08417200365966,0.0,1954.244458093615,3.861557478368357,21.880401499725593,10.000000000000002,0.0,20.000000000000004,45.31846744729458,2493.7266106252287,2430.8622010024824,0.0,374.3851180145634,30.08417200365966,0.0,1967.3964479352194,4.775483977401238,17.05345465176515,10.000000000000002,0.0,20.000000000000004,63.25316545456085
Acton Town Precinct 3,677,319,1580,435,384,59,146,125,169,693,860,133,138,73,296,122,1042,530,168,97,108,907,553,516,494,445,197,1141,732,403,213,425,276,1459,316,356,241,396,100,1834,388,890,326,1765,497,2289.5998554853195,2269.810285494469,0.0,233.02983084504692,0.0,0.0,2036.7804546494226,0.0,0.0,0.0,0.0,0.0,19.78956999085087,2321.635368148549,2306.8457981576985,0.0,246.61465264493057,0.0,0.0,2065.125930508192,0.0,0.0,0.0,0.0,0.0,13.789569990850874,2270.300140875821,2255.405355880396,0.0,302.71053397654487,3.915827996340347,0.0,1957.6948219038516,0.0,0.0,0.0,0.0,0.0,19.78956999085087,2393.8487430341847,2364.269603052483,0.0,347.6816180445813,3.915827996340347,0.0,1995.2816736671384,0.0,19.57913998170174,0.0,0.0,0.0,29.579139981701736,2146.9288940988104,2117.4549691216835,0.0,359.0931443899193,3.915827996340347,0.0,1758.3618247317638,0.0,0.0,0.0,0.0,0.0,23.579139981701736,2169.2584395533568,2149.679299571654,0.0,369.7244344173667,3.915827996340347,0.0,1779.954865154287,0.0,0.0,0.0,0.0,0.0,14.684354986276304
Acton Town Precinct 4,671,295,1675,414,333,70,139,131,140,639,891,133,150,42,313,78,1103,449,170,86,91,938,504,522,504,431,169,1159,790,383,207,440,254,1552,309,398,255,421,126,2051,416,938,341,1985,479,2594.7937837653117,2551.215452328268,0.0,213.28937901585257,35.467043314500934,0.0,2268.408137276709,4.0,25.0,0.0,0.0,3.8173710639546927,37.57833143704478,2744.7388856035955,2711.2528119440594,0.0,261.34535966728487,52.5892206846322,0.0,2354.3070415569,4.0,32.42738589211618,0.0,0.0,0.4670433145009416,43.06987780266175,2785.51112582937,2756.070639818578,0.0,252.2688130383907,55.19802183386785,7.538237436270938,2398.638181617931,4.0,41.14107883817427,0.0,0.0,0.0,29.4404860107922,2705.9445091122493,2688.4062716759786,0.0,222.3664940699392,65.22351345804847,7.538237436270938,2375.6029972648707,2.512745812090313,11.141078838174277,0.0,0.0,0.0,17.53823743627094,3006.045306349206,2978.507068912935,0.0,330.26963449489426,59.015392897822544,4.187909686817189,2469.723461506333,2.512745812090313,97.4273858921162,10.0,0.0,0.0,27.538237436270933,2865.910196298884,2828.431827158407,0.0,328.8577308157278,27.177810960459105,3.3503277494537516,2363.4377902165115,2.512745812090313,92.4273858921162,10.0,0.0,0.0,41.19206208653553
Acton Town Precinct 5,654,222,1580,387,303,59,140,130,110,590,842,127,138,30,265,95,1038,414,134,89,103,882,467,526,480,379,175,1152,707,343,204,429,219,1450,312,338,228,355,178,1897,396,846,331,1856,472,2449.763617469377,2392.6078549941744,0.0,289.8395858566756,0.0,0.0,2086.1185968869518,0.0,0.0,0.0,0.0,16.64967225054625,57.15576247520252,2666.246835987529,2600.664592805079,0.0,343.7477315070037,87.41077931536782,0.0,2169.5060819827067,0.0,0.0,0.0,0.0,0.0,65.58224318244922,2821.910886661256,2727.293361622324,0.0,404.9642674628692,99.28816601143605,37.461762563729074,2185.57916558429,0.0,0.0,0.0,0.0,0.0,94.6175250389316,2756.324470102511,2718.862707538782,0.0,339.6061262421035,124.26267438725542,37.461762563729074,2200.9841166771207,12.487254187909686,0.0,0.0,0.0,0.0,37.461762563729074,2660.6821524912507,2623.2203899275205,0.0,350.59870767272287,115.9378382619823,20.81209031318281,2118.1931425223333,12.487254187909686,0.0,0.0,0.0,0.0,37.461762563729074,2543.7445078309715,2484.535040918561,0.0,370.48350366112686,111.77542019934572,16.64967225054625,1968.9767725569945,12.487254187909686,0.0,0.0,0.0,0.0,59.20946691241046
